date,state,deaths_pneumonia_2019,deaths_pneumonia_2020,deaths_covid19,deaths_respiratory_failure_2019,deaths_respiratory_failure_2020,epidemiological_week_2020,new_deaths_pneumonia_2020,new_deaths_covid19,new_deaths_respiratory_failure_2020
2020-04-24,TO,173,248,1,159,206,17,1,0,0
2020-04-23,AC,275,248,7,139,114,17,0,0,0
2020-04-23,AL,711,620,18,689,605,17,2,0,4
2020-04-23,AM,531,892,222,265,588,17,47,20,39
2020-04-23,AP,147,70,2,106,76,17,1,0,1
2020-04-23,BA,1750,1545,31,2603,2162,17,7,3,16
2020-04-23,CE,2319,2249,380,1633,1690,17,16,23,15
2020-04-23,DF,897,986,46,497,581,17,7,0,3
2020-04-23,ES,1438,1358,47,767,753,17,2,4,5
2020-04-23,GO,1872,1845,63,1495,1554,17,10,0,16
2020-04-23,MA,648,586,88,664,671,17,9,14,12
2020-04-23,MG,5891,5777,142,5042,4815,17,11,4,20
2020-04-23,MS,939,928,5,647,676,17,2,0,4
2020-04-23,MT,261,262,6,268,192,17,1,0,2
2020-04-23,PA,640,544,29,630,647,17,2,3,4
2020-04-23,PB,1351,1184,30,1223,1069,17,7,0,1
2020-04-23,PE,2340,2352,179,2300,2303,17,13,19,22
2020-04-23,PI,705,483,5,972,586,17,1,0,1
2020-04-23,PR,3098,3252,92,2196,2101,17,27,9,10
2020-04-23,RJ,6617,7459,1251,4189,4869,17,99,93,83
2020-04-23,RN,970,832,18,528,516,17,1,0,0
2020-04-23,RO,313,344,12,293,268,17,5,2,3
2020-04-23,RR,98,115,2,51,65,17,1,0,1
2020-04-23,RS,3822,3757,46,3230,3199,17,23,3,21
2020-04-23,SC,1917,1801,44,1572,1376,17,14,1,7
2020-04-23,SE,496,534,6,475,440,17,2,0,1
2020-04-23,SP,20394,20114,2378,13547,14576,17,168,96,138
2020-04-23,TO,168,247,1,155,206,17,1,0,1
2020-04-22,AC,273,248,7,137,114,17,7,1,1
2020-04-22,AL,701,618,18,679,601,17,6,2,1
2020-04-22,AM,519,845,202,262,549,17,36,22,38
2020-04-22,AP,143,69,2,103,75,17,2,0,2
2020-04-22,BA,1732,1538,28,2577,2146,17,12,4,17
2020-04-22,CE,2277,2233,357,1615,1675,17,17,22,8
2020-04-22,DF,890,979,46,490,578,17,8,2,2
2020-04-22,ES,1422,1356,43,762,748,17,5,5,2
2020-04-22,GO,1855,1835,63,1478,1538,17,10,3,11
2020-04-22,MA,641,577,74,652,659,17,6,11,9
2020-04-22,MG,5822,5766,138,4996,4795,17,23,0,18
2020-04-22,MS,931,926,5,639,672,17,1,0,2
2020-04-22,MT,259,261,6,268,190,17,2,0,1
2020-04-22,PA,634,542,26,625,643,17,2,5,5
2020-04-22,PB,1336,1177,30,1210,1068,17,2,2,4
2020-04-22,PE,2312,2339,160,2277,2281,17,13,10,18
2020-04-22,PI,696,482,5,967,585,17,1,0,1
2020-04-22,PR,3071,3225,83,2183,2091,17,21,4,16
2020-04-22,RJ,6545,7360,1158,4153,4786,17,128,103,78
2020-04-22,RN,957,831,18,523,516,17,1,0,2
2020-04-22,RO,309,339,10,291,265,17,1,1,0
2020-04-22,RR,97,114,2,50,64,17,0,0,0
2020-04-22,RS,3787,3734,43,3204,3178,17,25,2,28
2020-04-22,SC,1894,1787,43,1558,1369,17,8,2,7
2020-04-22,SE,493,532,6,466,439,17,1,1,3
2020-04-22,SP,20209,19946,2282,13415,14438,17,137,85,129
2020-04-22,TO,167,246,1,154,205,17,0,0,0
2020-04-21,AC,271,241,6,133,113,17,1,1,1
2020-04-21,AL,690,612,16,673,600,17,4,0,4
2020-04-21,AM,515,809,180,260,511,17,39,17,28
2020-04-21,AP,140,67,2,100,73,17,1,0,0
2020-04-21,BA,1712,1526,24,2555,2129,17,7,2,17
2020-04-21,CE,2237,2216,335,1595,1667,17,16,27,17
2020-04-21,DF,881,971,44,486,576,17,3,0,5
2020-04-21,ES,1410,1351,38,753,746,17,9,2,9
2020-04-21,GO,1835,1825,60,1464,1527,17,16,2,13
2020-04-21,MA,636,571,63,645,650,17,7,12,4
2020-04-21,MG,5771,5743,138,4949,4777,17,28,6,23
2020-04-21,MS,922,925,5,636,670,17,6,1,8
2020-04-21,MT,257,259,6,265,189,17,2,1,2
2020-04-21,PA,626,540,21,620,638,17,5,4,3
2020-04-21,PB,1326,1175,28,1198,1064,17,0,3,9
2020-04-21,PE,2288,2326,150,2260,2263,17,16,11,18
2020-04-21,PI,689,481,5,953,584,17,0,0,2
2020-04-21,PR,3051,3204,79,2162,2075,17,21,4,13
2020-04-21,RJ,6471,7232,1055,4111,4708,17,118,88,94
2020-04-21,RN,946,830,18,521,514,17,1,0,1
2020-04-21,RO,308,338,9,289,265,17,3,1,2
2020-04-21,RR,95,114,2,49,64,17,1,0,0
2020-04-21,RS,3735,3709,41,3171,3150,17,35,2,27
2020-04-21,SC,1867,1779,41,1540,1362,17,11,2,9
2020-04-21,SE,487,531,5,461,436,17,2,0,2
2020-04-21,SP,20031,19809,2197,13294,14309,17,121,87,138
2020-04-21,TO,164,246,1,150,205,17,2,0,1
2020-04-20,AC,267,240,5,131,112,17,0,1,1
2020-04-20,AL,686,608,16,663,596,17,5,2,1
2020-04-20,AM,507,770,163,259,483,17,33,20,26
2020-04-20,AP,139,66,2,98,73,17,0,0,0
2020-04-20,BA,1694,1519,22,2532,2112,17,15,3,15
2020-04-20,CE,2203,2200,308,1571,1650,17,20,29,27
2020-04-20,DF,874,968,44,482,571,17,10,3,8
2020-04-20,ES,1397,1342,36,743,737,17,8,1,5
2020-04-20,GO,1822,1809,58,1446,1514,17,9,3,13
2020-04-20,MA,629,564,51,639,646,17,5,3,13
2020-04-20,MG,5717,5715,132,4885,4754,17,36,5,27
2020-04-20,MS,911,919,4,631,662,17,6,0,5
2020-04-20,MT,254,257,5,265,187,17,3,0,2
2020-04-20,PA,620,535,17,619,635,17,4,2,6
2020-04-20,PB,1314,1175,25,1186,1055,17,5,1,7
2020-04-20,PE,2267,2310,139,2242,2245,17,19,14,19
2020-04-20,PI,682,481,5,944,582,17,2,0,1
2020-04-20,PR,3025,3183,75,2141,2062,17,29,6,24
2020-04-20,RJ,6400,7114,967,4073,4614,17,127,98,89
2020-04-20,RN,938,829,18,516,513,17,1,0,1
2020-04-20,RO,304,335,8,283,263,17,2,0,2
2020-04-20,RR,93,113,2,48,64,17,0,0,0
2020-04-20,RS,3700,3674,39,3145,3123,17,23,2,20
2020-04-20,SC,1857,1768,39,1533,1353,17,10,1,13
2020-04-20,SE,482,529,5,456,434,17,2,1,0
2020-04-20,SP,19843,19688,2110,13166,14171,17,146,100,153
2020-04-20,TO,163,244,1,149,204,17,1,0,0
2020-04-19,AC,266,240,4,129,111,17,3,1,3
2020-04-19,AL,677,603,14,653,595,17,2,1,2
2020-04-19,AM,504,737,143,257,457,17,30,11,28
2020-04-19,AP,134,66,2,97,73,17,0,0,0
2020-04-19,BA,1679,1504,19,2513,2097,17,9,4,14
2020-04-19,CE,2182,2180,279,1559,1623,17,24,26,23
2020-04-19,DF,864,958,41,478,563,17,6,0,2
2020-04-19,ES,1377,1334,35,734,732,17,6,0,3
2020-04-19,GO,1809,1800,55,1431,1501,17,7,3,15
2020-04-19,MA,628,559,48,634,633,17,5,6,7
2020-04-19,MG,5660,5679,127,4829,4727,17,29,7,33
2020-04-19,MS,904,913,4,623,657,17,7,0,5
2020-04-19,MT,249,254,5,262,185,17,0,0,1
2020-04-19,PA,610,531,15,614,629,17,7,3,9
2020-04-19,PB,1300,1170,24,1168,1048,17,6,1,4
2020-04-19,PE,2231,2291,125,2214,2226,17,8,15,18
2020-04-19,PI,671,479,5,934,581,17,5,0,2
2020-04-19,PR,2990,3154,69,2119,2038,17,19,5,19
2020-04-19,RJ,6306,6987,869,4026,4525,17,112,89,108
2020-04-19,RN,926,828,18,510,512,17,4,0,8
